#2 0 | 1 1
#8 0 | 9 1
2 0 | 3 0 | 4 0 | 5 0 | 6 0 | 7 0 | 8 0
2 1 | 3 1 | 4 1 | 5 1 | 6 1 | 7 1 | 8 1
2 2 | 3 2 | 4 2 | 5 2 | 6 2 | 7 2 | 8 2
2 3 | 3 3 | 4 3 | 5 3 | 6 3 | 7 3 | 8 3
1 0 | 2 0 | 3 0 | 4 0 | 0 0
6 0 | 7 0 | 8 0 | 9 0 | 10 0
1 1 | 2 1 | 3 1 | 4 1
6 1 | 7 1 | 8 1 | 9 1
1 2 | 2 2 | 3 2 | 4 2
6 2 | 7 2 | 8 2 | 9 2
1 3 | 2 3 | 3 3 | 4 3 | 0 3
6 3 | 7 3 | 8 3 | 9 3 | 10 3
1 0 | 2 1 | 3 2 | 4 3
2 0 | 3 1 | 4 2 | 5 3
3 0 | 4 1 | 5 2 | 6 3
4 0 | 5 1 | 6 2 | 7 3
4 0 | 3 1 | 2 2 | 1 3
5 0 | 6 1 | 7 2 | 8 3
5 0 | 4 1 | 3 2 | 2 3
6 0 | 7 1 | 8 2 | 9 3
6 0 | 5 1 | 4 2 | 3 3
7 0 | 6 1 | 5 2 | 4 3
8 0 | 7 1 | 6 2 | 5 3
9 0 | 8 1 | 7 2 | 6 3
1 0 | 1 1 | 1 2 | 1 3
2 0 | 2 1 | 2 2 | 2 3
3 0 | 3 1 | 3 2 | 3 3
4 0 | 4 1 | 4 2 | 4 3
5 0 | 5 1 | 5 2 | 5 3
6 0 | 6 1 | 6 2 | 6 3
7 0 | 7 1 | 7 2 | 7 3
8 0 | 8 1 | 8 2 | 8 3
9 0 | 9 1 | 9 2 | 9 3
# Extended 3 lines
3 0 | 2 1 | 1 2 | 0 3
7 0 | 8 1 | 9 2 | 10 3
1 1 | 2 2 | 3 3 | 0 0
9 1 | 8 2 | 7 3 | 10 0
